udi,product_id,air_temperature_[k],process_temperature_[k],rotational_speed_[rpm],torque_[nm],tool_wear_[min],machine_failure,twf,hdf,pwf,osf,rnf,temp_diff,power,wear_torque,norm_wear,type_L,type_M
1,M14860,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,0.0,False,True
2,L47181,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,138.89999999999998,0.0125,True,False
3,L47182,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,247.0,0.020833333333333332,True,False
4,L47183,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,276.5,0.029166666666666667,True,False
5,L47184,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,360.0,0.0375,True,False
6,M14865,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,460.9,0.044,False,True
7,L47186,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,593.6,0.058333333333333334,True,False
8,L47187,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,643.2,0.06666666666666667,True,False
9,M14868,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,514.8000000000001,0.072,False,True
10,M14869,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,588.0,0.084,False,True
11,H29424,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,573.5999999999999,0.09230769230769231,False,False
12,H29425,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,1284.6999999999998,0.11153846153846154,False,False
13,M14872,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,1737.4,0.136,False,True
14,M14873,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,1110.0,0.148,False,True
15,L47194,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,784.0,0.16666666666666666,True,False
16,L47195,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,2032.8,0.175,True,False
17,M14876,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,2050.4,0.176,False,True
18,M14877,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,2143.2000000000003,0.188,False,True
19,H29432,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,2725.0,0.19230769230769232,False,False
